Defect,Best AI model family,Alternative model,Why this model fits the visual signature,Reported accuracy/metric (mAP/AUROC/precision),Typical inference latency,Inspection modality (2D-AOI / 3D-AOI / X-ray-AXI / OCR),Min training data regime (supervised many / few-shot / anomaly good-only),Source
missing component,CM-YOLO (YOLO11-small base),"YOLOv8, YOLOv5, PatchCore, Faster R-CNN, SSD, D-Fine",Dual-stream RGB/Depth fusion distinguishes background texture from physical absence of component height; simplifies training by adapting to variable shapes.,0.974 AP (mAP 0.969); 95.5% (YOLOv8); 99.5% mAP@0.5 (YOLO11-PCB),22.02 ms; 124 FPS (YOLOv8); 4.4 ms (YOLO11-PCB); <10 ms,2D-AOI / 3D-AOI,supervised many / anomaly good-only,[1-8]
misalignment/shift,CM-YOLO (YOLO11 base),"YOLOv11-PCB, YOLOv10, YOLOv8, D-Fine, PatchCore, U-Net, Template Matching (NCC)",Identifies shifts relative to pad patterns using color/depth contrast; EIoU loss penalizes center point and aspect ratio discrepancies.,0.995 AP; 98% accuracy; 99% pixel accuracy (U-Net),22.02 ms; 4.4 ms (YOLO11-PCB),2D-AOI / 3D-AOI,supervised many / few-shot (Template-based),"[1, 4, 7-12]"
solder bridge/short,YOLOv8 + CBAM,"YOLOv9, YOLOv5s, Mask R-CNN, CM-YOLO, PatchCore, FastFlow",Attention mechanisms and CSP-style backbones highlight low-contrast connections and high-frequency gradients at joint boundaries.,98.8% mAP@50; 0.993 AP; 0.9069 mAP@0.5; 0.72 mAP@[0.5:0.95] (Y-MaskNet),109.11 FPS (9.16 ms); 22.02 ms; 3.1 ms; 25 ms; <10 ms,2D-AOI / X-ray-AXI,supervised many / anomaly good-only,"[1, 2, 4-6, 11, 13-15]"
wrong component,YOLOv5,"YOLOv11, YOLOv8-PCB, CM-YOLO, EfficientNet, YOLOv3, OCR-based methods","Anchor-free or multi-scale perception distinguishes markings, size, and shapes against BOM library images.",97.7% mAP (YOLOv5); 96.1% mAP (YOLOv8-PCB); 92.8% mAP@0.5 (YOLO11 baseline),274.13 FPS (YOLOv5); 7.1 GFLOPs; <30 ms,2D-AOI,supervised many,"[1, 2, 6, 8, 9, 11, 13, 16-18]"
tombstoning,CM-YOLO (YOLO11 base),"YOLOv7, 3D AOI (Volumetric), Mask R-CNN, DRAIN (3D Anomaly)",Height variations in 3D/depth maps identify one end lifting off the pad; captures vertical z-axis deviations invisible to 2D.,96.6% mAP (YOLOv7); 0.969 mAP (Multimodal),22.02 ms; 132.46 FPS (YOLOv7),2D-AOI / 3D-AOI,supervised many / anomaly good-only,"[1, 2, 4, 9, 11-13, 19]"
polarity/orientation reversal,YOLOv8-CBAM,"YOLOv5, ResNet-50, CM-YOLO, SME-YOLO, OCR/OCV, SVM/HOG","Focus networks weight fine-grained spatial features to isolate asymmetric markers like notches, stripes, or beveled edges.",98.8% mAP@0.5; 98% accuracy; Near-100% accuracy,109.11 FPS,2D-AOI / OCR,supervised many / few-shot,"[4, 8-13]"
insufficient or cold solder,PatchCore,"Anomaly Detection (Tiny-Dinomaly), CNN (ResNet), X-ray-AXI, 3D-AOI, FastFlow, IGAF, EfficientAD",Reconstruction-based methods detect anomalous textures (dull/rough spots) that deviate from healthy fillet distributions.,99.1% AUROC (PatchCore); 0.45 Pixel F1 (Tiny-Dinomaly),3.39 GFLOPs; 25 s (AXI assembly check),2D-AOI / 3D-AOI / X-ray-AXI,supervised many / anomaly good-only,"[5, 6, 11-14, 17, 20-22]"
lifted lead,CM-YOLO (YOLO11 base),"3D-AOI (Volumetric), PatchCoreCL++, FastFlow, D-Fine","3D depth maps and volumetric measurements identify leads not contacting the pad, providing clear structural height differences.",0.913 AP; 0.96 Image F1,22.02 ms; 4.15 GFLOPs,3D-AOI,supervised many / anomaly good-only,"[1, 4, 5, 12-14, 19, 20]"
bent or missing connector pin,EfficientAD,"YOLOv11, YOLOv8, PatchCore, FastFlow",Identifies anomalies in repetitive structural patterns as reconstruction errors or mechanical deformations in defined regions.,AUROC \approx 99%,< 2.0 ms,2D-AOI / 3D-AOI,supervised many / anomaly good-only,"[4, 5, 11, 19, 23]"
BGA hidden joint,X-ray-AXI,"WD-YOLO, Mask R-CNN, 3D-AOI, CAE, CNN-based reference comparison",Requires penetration imaging to delineate ball shapes and boundaries hidden beneath the component package.,Not in source,Not in source,X-ray-AXI,supervised many,"[1, 9, 10, 12, 13, 17, 19, 24]"
